,topic,in_dgr,out_dgr,generality
0,Second_Crusade,9,26,0.34615384615384615
1,Navassa_Island,4,56,0.07142857142857142
2,Evan_Rachel_Wood,0,7,0.0
3,Tropical_Storm_Henri_(2003),1,12,0.08333333333333333
4,Final_Fantasy_Adventure,0,5,0.0
5,Tornado,37,35,1.0571428571428572
6,John_W._Campbell,3,4,0.75
7,Whooping_Crane,1,7,0.14285714285714285
8,Shigin,0,4,0.0
9,Hafnium,9,38,0.23684210526315788
10,Hawaiian_Goose,1,10,0.1
11,Ankylosaurus,7,26,0.2692307692307692
12,Andriyivskyy_Descent,1,13,0.07692307692307693
13,Supermarine_Spitfire,11,38,0.2894736842105263
14,Carl_Jung,14,29,0.4827586206896552
15,Fine_art,10,12,0.8333333333333334
16,Arithmetic,21,10,2.1
17,Taj_Mahal,12,48,0.25
18,Social_capital,4,9,0.4444444444444444
19,Nepal,73,37,1.972972972972973
20,Book_of_Common_Prayer,14,29,0.4827586206896552
21,African_Buffalo,2,19,0.10526315789473684
22,Luminiferous_aether,9,12,0.75
23,Chicago,164,34,4.823529411764706
24,Giza_pyramid_complex,2,7,0.2857142857142857
25,Lyme_disease,5,25,0.2
26,Humour,6,7,0.8571428571428571
27,Imperative_programming,2,7,0.2857142857142857
28,Brain,54,54,1.0
29,Coconut,28,35,0.8
30,Tern,8,13,0.6153846153846154
31,Wars_of_the_Roses,17,29,0.5862068965517241
32,Davis_Cup,15,53,0.2830188679245283
33,Great_Tit,1,13,0.07692307692307693
34,Wave–particle_duality,1,25,0.04
35,Jean_Charles_de_Menezes,1,16,0.0625
37,Music_of_Spain,6,39,0.15384615384615385
38,Terik,0,1,0.0
39,Bernard_Hinault,4,5,0.8
40,Hickman's_potentilla,0,12,0.0
41,Eris_(dwarf_planet),6,23,0.2608695652173913
42,Intelligence,6,6,1.0
43,Margaret_Sanger,2,12,0.16666666666666666
44,Bretton_Woods_system,11,50,0.22
45,Glastonbury_Festival,3,14,0.21428571428571427
46,Oxygen,205,30,6.833333333333333
47,Gerald_Ford,24,44,0.5454545454545454
48,Antarctic_Treaty_System,3,54,0.05555555555555555
49,John_Locke,46,39,1.1794871794871795
50,"Martin_Luther_King,_Jr.",24,44,0.5454545454545454
51,Six-party_talks_concerning_North_Korea's_nuclear_program,0,11,0.0
52,Coot,2,11,0.18181818181818182
53,Nintendo_Entertainment_System,17,15,1.1333333333333333
54,Bee,25,19,1.3157894736842106
55,New_York_City,317,71,4.464788732394366
56,Space_Shuttle_Endeavour,6,16,0.375
57,John_Dee,5,40,0.125
58,Eifel_Aqueduct,0,16,0.0
59,Three_Gorges_Dam,4,15,0.26666666666666666
60,Akkadian_Empire,5,15,0.3333333333333333
61,Bette_Davis,7,23,0.30434782608695654
62,Indian_Ocean,119,75,1.5866666666666667
63,Tel_Aviv,20,26,0.7692307692307693
64,England,751,172,4.366279069767442
65,Philip_II_of_Spain,26,27,0.9629629629629629
66,Carrot,10,27,0.37037037037037035
67,Australian_Ringneck,0,7,0.0
68,Special_relativity,32,14,2.2857142857142856
69,Michael_Woodruff,0,13,0.0
70,Cubism,19,11,1.7272727272727273
71,Biosphere,23,22,1.0454545454545454
72,Diamond_cut,1,26,0.038461538461538464
73,Coconut_crab,3,33,0.09090909090909091
74,Gibraltar,48,45,1.0666666666666667
75,Hurricane_John_(1994),0,10,0.0
76,American_Civil_War,145,34,4.264705882352941
77,Hubble_Space_Telescope,46,44,1.0454545454545454
78,Introduction_to_special_relativity,0,4,0.0
79,Carbon_dioxide,115,48,2.3958333333333335
80,Marco_Polo,21,23,0.9130434782608695
81,ATLAS_experiment,0,17,0.0
82,Cape_Canaveral,7,7,1.0
83,California_Southern_Railroad,1,14,0.07142857142857142
84,Barium,20,29,0.6896551724137931
85,Sauroposeidon,4,26,0.15384615384615385
86,Brighton,20,24,0.8333333333333334
87,Douglas_Adams,15,29,0.5172413793103449
88,Northern_Pacific_Railway,2,24,0.08333333333333333
89,Mind,25,15,1.6666666666666667
90,The_Anarchy,9,10,0.9
91,"Baltimore,_Maryland",29,38,0.7631578947368421
92,Sanskrit,100,32,3.125
93,Blue_Whale,2,28,0.07142857142857142
94,Santa_Claus,8,45,0.17777777777777778
95,OpenOffice.org,3,12,0.25
96,Krazy_Kat,4,16,0.25
97,Irrigation,56,20,2.8
98,Material_properties_of_diamond,4,28,0.14285714285714285
99,Wildebeest,7,12,0.5833333333333334
100,Parsley,15,41,0.36585365853658536
101,Holy_Roman_Empire,97,44,2.2045454545454546
102,John_A.T._Robinson,0,6,0.0
103,Famine,42,63,0.6666666666666666
104,Gowanus_Canal,0,19,0.0
105,Zebra,12,12,1.0
106,Defense_of_Sihang_Warehouse,0,10,0.0
107,Stock,12,13,0.9230769230769231
108,Christian_monasticism,6,26,0.23076923076923078
109,Mathematics,151,63,2.3968253968253967
110,Tree_Sparrow,3,17,0.17647058823529413
111,Community,11,35,0.3142857142857143
112,University_of_Chicago,32,32,1.0
113,Prague,59,45,1.3111111111111111
114,Corundum,8,9,0.8888888888888888
115,Toy,12,37,0.32432432432432434
116,Tasmanian_Devil,3,12,0.25
117,Medal_of_Honor,13,36,0.3611111111111111
118,Roan_Antelope,0,8,0.0
119,Allah,18,13,1.3846153846153846
120,Roche_limit,6,10,0.6
121,Indira_Gandhi,12,16,0.75
122,Ska,12,23,0.5217391304347826
123,Battle_of_the_Santa_Cruz_Islands,4,13,0.3076923076923077
124,Aluminium,107,80,1.3375
125,British_House_of_Commons,88,34,2.588235294117647
126,The_Lord_of_the_Rings_film_trilogy,12,14,0.8571428571428571
127,Blackpool,6,9,0.6666666666666666
128,Bridge,32,62,0.5161290322580645
129,AC_DC,0,28,0.0
130,Radon,41,36,1.1388888888888888
131,William_N._Page,2,20,0.1
132,Hasekura_Tsunenaga,3,28,0.10714285714285714
133,Grover_Cleveland,16,31,0.5161290322580645
134,Troop_sleeper,1,6,0.16666666666666666
135,Absolute_zero,9,16,0.5625
136,Pony,3,2,1.5
137,Apatosaurus,8,15,0.5333333333333333
138,Edward_Teller,8,32,0.25
139,City,69,71,0.971830985915493
140,Gliding,2,22,0.09090909090909091
141,Renaissance,122,63,1.9365079365079365
142,Gold_standard,13,61,0.21311475409836064
143,Radar,43,24,1.7916666666666667
144,Asia,357,137,2.605839416058394
145,"William_Thomson,_1st_Baron_Kelvin",7,51,0.13725490196078433
146,Copper(I)_chloride,3,6,0.5
147,15th_Marine_Expeditionary_Unit,1,24,0.041666666666666664
148,Joseph_Haydn,14,13,1.0769230769230769
149,One_Flew_Over_the_Cuckoo's_Nest_(novel),0,8,0.0
150,Poetry_of_the_United_States,7,33,0.21212121212121213
151,Corporate_finance,3,10,0.3
152,Camel,25,31,0.8064516129032258
153,Seinfeld,11,6,1.8333333333333333
154,Pollinator,11,11,1.0
155,Saint-Pierre_and_Miquelon,20,16,1.25
156,Formula_One,24,84,0.2857142857142857
157,James_Cook,29,47,0.6170212765957447
158,7th_century,63,41,1.5365853658536586
159,Internet_Explorer,11,13,0.8461538461538461
160,Feldspar,16,14,1.1428571428571428
161,Lake_Superior,19,21,0.9047619047619048
162,Palace_of_Westminster,31,39,0.7948717948717948
163,Full_moon,12,10,1.2
164,Sichuan_Pepper,11,14,0.7857142857142857
165,Myocardial_infarction,23,16,1.4375
166,Star_Wars_Episode_IV__A_New_Hope,11,23,0.4782608695652174
167,World_Health_Organization,57,45,1.2666666666666666
168,Beeching_Axe,5,14,0.35714285714285715
169,Guam,43,26,1.6538461538461537
170,Julius_Caesar,49,21,2.3333333333333335
171,Abacá,0,7,0.0
172,Snow_Goose,3,13,0.23076923076923078
173,Isaac_Asimov,16,35,0.45714285714285713
174,Egyptian_pyramids,6,5,1.2
175,Silurian,18,17,1.0588235294117647
176,Eurasian_Collared_Dove,2,16,0.125
177,"Goleta,_California",0,5,0.0
178,Mongol_Empire,27,30,0.9
179,Hurricane_Marty_(2003),0,7,0.0
180,Newshounds,1,7,0.14285714285714285
181,Screw,5,19,0.2631578947368421
182,Rook_(bird),2,21,0.09523809523809523
183,Eyelid,3,2,1.5
184,Mammal,199,42,4.738095238095238
185,Albatross,10,63,0.15873015873015872
186,Eruption_column,5,10,0.5
187,Energy,85,61,1.3934426229508197
188,Isan,3,44,0.06818181818181818
189,Beep_(SWBLW),0,4,0.0
190,Isles_of_Scilly,8,15,0.5333333333333333
191,Swan,10,26,0.38461538461538464
192,Cerebellum,7,19,0.3684210526315789
193,La_Paz,6,8,0.75
194,Literacy,39,24,1.625
195,Bantu,29,13,2.230769230769231
196,Eagle,34,35,0.9714285714285714
197,Black-backed_Jackal,1,9,0.1111111111111111
198,Explorer_I,5,8,0.625
199,The_Hobbit,6,26,0.23076923076923078
200,Du_Fu,4,27,0.14814814814814814
201,Turkey,249,172,1.447674418604651
202,Canadian_Pacific_Railway,17,47,0.3617021276595745
203,Space_exploration,12,34,0.35294117647058826
204,Saint_Joan_(play),1,5,0.2
205,Toy_Story,1,8,0.125
206,Juan_Sebastián_Elcano,2,14,0.14285714285714285
207,Prion,10,16,0.625
208,Wikipedia,14,31,0.45161290322580644
209,Lego,1,23,0.043478260869565216
210,GNU,9,15,0.6
211,Waheguru,3,5,0.6
212,Imagism,5,20,0.25
213,Archaeopteryx,13,21,0.6190476190476191
214,Catholic_social_teaching,3,18,0.16666666666666666
215,Gordon_Brown,12,19,0.631578947368421
216,Lisbon,35,63,0.5555555555555556
217,Lerwick,2,13,0.15384615384615385
218,Monaco,52,26,2.0
219,Richard_Stallman,14,23,0.6086956521739131
220,Thermodynamics,23,19,1.2105263157894737
221,The_Marriage_of_Figaro,5,4,1.25
222,Chess,38,24,1.5833333333333333
223,Bismuth,23,37,0.6216216216216216
224,Backgammon,7,31,0.22580645161290322
225,Thomas_Becket,14,12,1.1666666666666667
226,Battle_of_France,12,30,0.4
227,Otto_von_Bismarck,9,26,0.34615384615384615
228,Stained_glass,16,14,1.1428571428571428
229,"Dallas,_Texas",29,39,0.7435897435897436
230,Montreal_Metro,2,9,0.2222222222222222
231,Berlin,138,79,1.7468354430379747
232,Japanese_war_crimes,5,47,0.10638297872340426
233,John_Maynard_Keynes,20,23,0.8695652173913043
234,Nuclear_weapon,73,32,2.28125
235,Roald_Amundsen,1,14,0.07142857142857142
236,John_Calvin,18,21,0.8571428571428571
237,Country,82,19,4.315789473684211
238,Eurasian_Jay,1,15,0.06666666666666667
239,Refrigerator_car,3,36,0.08333333333333333
240,The_Pilgrim's_Progress,3,15,0.2
241,Cotton,79,32,2.46875
242,Cricket,89,27,3.2962962962962963
243,Nephron,0,4,0.0
244,Australia,563,86,6.546511627906977
245,Cereal,65,38,1.7105263157894737
246,Frederick_II_of_Prussia,8,35,0.22857142857142856
247,Sumo,3,13,0.23076923076923078
248,Rabat,6,8,0.75
249,Flamingo,6,15,0.4
250,Fermi_paradox,3,32,0.09375
251,Henry_V_of_England,20,16,1.25
252,Maiasaura,1,14,0.07142857142857142
253,Cameroon,83,32,2.59375
254,Sunset_Boulevard_(1950_film),1,16,0.0625
255,Carl_Friedrich_Gauss,17,20,0.85
256,Europium,10,21,0.47619047619047616
257,Akrotiri_and_Dhekelia,8,15,0.5333333333333333
258,Roman_villa,5,8,0.625
259,FairTax,0,8,0.0
260,Marshall_Plan,16,56,0.2857142857142857
261,Robert_Oppenheimer,7,46,0.15217391304347827
262,Helen_Gandy,1,8,0.125
263,Blood_type,6,5,1.2
264,History_of_the_Australian_Capital_Territory,0,18,0.0
265,3rd_century,32,33,0.9696969696969697
266,Humus,4,7,0.5714285714285714
267,Macau,32,45,0.7111111111111111
268,Archbishop_of_Canterbury,70,26,2.6923076923076925
269,Automated_teller_machine,6,28,0.21428571428571427
270,Kiev,36,42,0.8571428571428571
271,Conakry,4,6,0.6666666666666666
272,Bahá'í_Faith,41,36,1.1388888888888888
273,Pythagoras,16,17,0.9411764705882353
