,article,cat0,cat1,cat2
0,Áedán_mac_Gabráin,History,British_History,British_History_1500_and_before_including_Roman_Britain
1,Áedán_mac_Gabráin,People,Historical_figures,
2,Åland,Countries,,
3,Åland,Geography,European_Geography,European_Countries
4,Édouard_Manet,People,Artists,
5,Éire,Countries,,
6,Éire,Geography,European_Geography,European_Countries
7,Óengus_I_of_the_Picts,History,British_History,British_History_1500_and_before_including_Roman_Britain
8,Óengus_I_of_the_Picts,People,Historical_figures,
9,€2_commemorative_coins,Business_Studies,Currency,
10,10th_century,History,General_history,
11,11th_century,History,General_history,
12,12th_century,History,General_history,
13,13th_century,History,General_history,
14,14th_century,History,General_history,
15,15th_Marine_Expeditionary_Unit,History,Military_History_and_War,
16,15th_century,History,General_history,
17,16_Cygni,Science,Physics,Space_Astronomy
18,16_Cygni_Bb,Science,Physics,Space_Astronomy
19,16th_century,History,General_history,
20,1755_Lisbon_earthquake,History,General_history,
21,17th_century,History,General_history,
22,1896_Summer_Olympics,Everyday_life,Sports_events,
23,18th_century,History,General_history,
24,1928_Okeechobee_Hurricane,Geography,Storms,
25,1973_oil_crisis,History,Recent_History,
26,1980_eruption_of_Mount_St._Helens,Geography,Geology_and_geophysics,
27,1997_Pacific_hurricane_season,Geography,Natural_Disasters,
28,19th_century,History,General_history,
29,1_Ceres,Science,Physics,Space_Astronomy
30,1st_century,History,General_history,
31,1st_century_BC,History,General_history,
32,2-6-0,Design_and_Technology,Railway_transport,
33,2-8-0,Design_and_Technology,Railway_transport,
34,2003_Atlantic_hurricane_season,Geography,Natural_Disasters,
35,2004_Atlantic_hurricane_season,Geography,Natural_Disasters,
36,2004_Indian_Ocean_earthquake,Geography,Geology_and_geophysics,
37,2005_Atlantic_hurricane_season,Geography,Storms,
38,2005_Hertfordshire_Oil_Storage_Terminal_fire,History,Recent_History,
39,2005_Kashmir_earthquake,Geography,Natural_Disasters,
40,2005_Lake_Tanganyika_earthquake,Geography,Natural_Disasters,
41,2005_Sumatra_earthquake,Geography,Natural_Disasters,
42,20th_century,History,General_history,
43,21st_century,History,General_history,
44,2nd_century,History,General_history,
45,3_Juno,Science,Physics,Space_Astronomy
46,3rd_century,History,General_history,
47,4-2-0,Design_and_Technology,Railway_transport,
48,4-4-0,Design_and_Technology,Railway_transport,
49,4-6-0,Design_and_Technology,Railway_transport,
50,47_Ursae_Majoris,Science,Physics,Space_Astronomy
51,47_Ursae_Majoris_b,Science,Physics,Space_Astronomy
52,47_Ursae_Majoris_c,Science,Physics,Space_Astronomy
53,4_Vesta,Science,Physics,Space_Astronomy
54,4th_century,History,General_history,
55,55_Cancri,Science,Physics,Space_Astronomy
56,55_Cancri_b,Science,Physics,Space_Astronomy
57,55_Cancri_c,Science,Physics,Space_Astronomy
58,55_Cancri_d,Science,Physics,Space_Astronomy
59,55_Cancri_e,Science,Physics,Space_Astronomy
60,5th_century,History,General_history,
61,6-2-0,Design_and_Technology,Railway_transport,
62,6th_century,History,General_history,
63,7th_century,History,General_history,
64,8th_century,History,General_history,
65,90377_Sedna,Science,Physics,Space_Astronomy
66,9th_century,History,General_history,
67,A._E._J._Collins,People,Sports_and_games_people,
68,ABO_blood_group_system,Science,Biology,Health_and_medicine
69,AC_DC,Music,Performers_and_composers,
70,AIDS,Science,Biology,Health_and_medicine
71,AK-47,History,Military_History_and_War,
72,ALCO_FA,Design_and_Technology,Railway_transport,
73,ASCII,IT,Computing_hardware_and_infrastructure,
74,AT&T,Business_Studies,Companies,
75,ATLAS_experiment,Science,Physics,General_Physics
76,A_Christmas_Carol,Language_and_literature,Novels,
77,A_Tale_of_a_Tub,Language_and_literature,Novels,
78,A_Wrinkle_in_Time,Language_and_literature,Novels,
79,A_cappella,Music,Musical_genres_styles_eras_and_events,
80,Aachen,Geography,European_Geography,
81,Aardvark,Science,Biology,Mammals
82,Aarhus,Geography,European_Geography,
83,Abacá,Science,Biology,Plants
84,Abacus,Everyday_life,Everyday_life,
85,Abacus,Mathematics,,
86,Abadan,Geography,Geography_of_the_Middle_East,
87,Abbadid,History,Ancient_History_Classical_History_and_Mythology,
