,name,id,category,photoURL,ingredients
0,A1,17222,Cocktail,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']"
1,ABC,13501,Shot,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"['Amaretto', 'Baileys irish cream', 'Cognac']"
2,Ace,17225,Cocktail,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']"
3,Adam,17837,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,"['Dark rum', 'Lemon juice', 'Grenadine']"
4,AT&T,13938,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"['Absolut Vodka', 'Gin', 'Tonic water']"
5,ACID,14610,Shot,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"['151 proof rum', 'Wild Turkey']"
6,A. J.,17833,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,"['Applejack', 'Grapefruit juice']"
7,Affair,17839,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,"['Strawberry schnapps', 'Orange juice', 'Cranberry juice', 'Club soda']"
8,Apello,15106,Other/Unknown,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,"['Orange juice', 'Grapefruit juice', 'Apple juice', 'Maraschino cherry']"
9,Avalon,15266,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,"['Vodka', 'Pisang Ambon', 'Apple juice', 'Lemon juice', 'Lemonade']"
10,Abilene,17835,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,"['Dark rum', 'Peach nectar', 'Orange juice']"
11,Almeria,11023,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"['Dark rum', 'Kahlua', 'Egg white']"
12,Addison,17228,Cocktail,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"['Gin', 'Vermouth']"
13,Acapulco,17836,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Egg white', 'Mint']"
14,Affinity,17840,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Orange bitters']"
15,Applecar,11046,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,"['Applejack', 'Triple sec', 'Lemon juice']"
16,Aviation,17180,Cocktail,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,"['Gin', 'lemon juice', 'maraschino liqueur']"
17,Alexander,11014,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,"['Gin', 'Creme de Cacao', 'Light cream', 'Nutmeg']"
18,Algonquin,11020,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,"['Blended whiskey', 'Dry Vermouth', 'Pineapple juice']"
19,Allegheny,11021,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,"['Dry Vermouth', 'Bourbon', 'Blackberry brandy', 'Lemon juice', 'Lemon peel']"
20,Artillery,11055,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,"['Sweet Vermouth', 'Gin', 'Bitters']"
21,Afterglow,12560,Cocktail,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"['Grenadine', 'Orange juice', 'Pineapple juice']"
22,Autodafé,12756,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,"['Vodka', 'Lime juice', 'Soda water']"
23,Afternoon,13162,Coffee / Tea,https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,"['Kahlua', 'Baileys irish cream', 'Frangelico', 'Coffee', 'Cream']"
24,After sex,15182,Ordinary Drink,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,"['Vodka', 'Creme de Banane', 'Orange juice']"
25,B-53,13332,Shot,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,"['Kahlua', 'Sambuca', 'Grand Marnier']"
